FlightDateTime,date_time,DATAH,filename,DOY,daytime,file_records,used_records,tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,none_flux,qc_none_flux,rand_err_none_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,none_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,none_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,none_molar_density,none_mole_fraction,none_mixing_ratio,none_time_lag,none_def_timelag,sonic_temperature,air_temperature,air_pressure,rho_a,c_p,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,u,max_wind_speed,wind_dir,yaw,pitch,roll,ustar,TKE,L,zeta,beta,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_none_flux,un_none_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,none_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,mean_value_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,none_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,w/none_cov,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,co2_signal_strength_7500_mean,ALB_1_1_1,LOGGERPOWER_1_1_1,LOGGERTEMP_1_1_1,VIN_1_1_1,LW_IN,LW_OUT,PPFD_1_1_1,P_RAIN_1_1_1,h_r,R_n,SHFHEATER_1_1_1,SHFSENS_1_1_1,SHFSENS_2_1_1,SHFSENS_3_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,SW_IN,SW_OUT,T_a,TCNR4_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,VERSION_1_1_1,CHK,_0_0_1,RECORD,DOYMET,BattV_Min,PanelTemp_C,TTmV_1,IRT1_SBT_C,IRT1_TT_C,IRT1_SBT_C_Avg,IRT1_SBT_C_Std,IRT1_TT_C_Avg,IRT1_TT_C_Std,TTmV_2,IRT2_SBT_C,IRT2_TT_C,IRT2_SBT_C_Avg,IRT2_SBT_C_Std,IRT2_TT_C_Avg,IRT2_TT_C_Std,TTmV_3,IRT3_SBT_C,IRT3_TT_C,IRT3_SBT_C_Avg,IRT3_SBT_C_Std,IRT3_TT_C_Avg,IRT3_TT_C_Std,p_a,e_a,T_c,G,P,Q_av,EBR,SW_IN_raw,R_n_raw,T_s_IRT,T_s_CNR4,r_H_IRT,r_H_CNR4,r_aH_brut,FLAG,H_corr_bowen,LE_corr_bowen,H_corr_H,LE_corr_H,H_corr_LE,LE_corr_LE,DayFrac,DayFrac_DST,Soil,T_a_HMP
2021-03-01 13:00:00-08:00,2021-03-01 13:00:00,DATA,2021-03-01T123000_smart3-00269.ghg,60.5415,1,18000,18000,-0.300191,0,,202.206,0,,152.922,0.0,,-9.69796,0.0,,3.45135,0.0,,,,,,,,,,,,,,-1.97452e-10,-1.522e-12,,,17.2292,416.76,418.103,0.0,0,132.806,3.21246,3.22281,0.0,0,,,,,9,,,,,9,291.547,290.584,99876.1,1.19597,1007.21,0.0241891,0.223647,0.00239316,320.934,1985.62,0.00200103,16.1629,1664.68,264.6,3.35715,-0.0275998,0.0479183,3.3576,5.43151e-14,-1.14603e-14,3.3576,8.67275,180.604,359.529,0.817729,,0.501002,2.74501,-54.1423,-0.0678305,1.32228,-0.335054,0,53.2903,-8.08701,18.2928,45.5518,69.4693,97.4317,145.97,-0.296794,1.01145,206.342,1.0224,137.175,1.08644,-19.4116,1.08644,3.09594,1.08644,,,,,800000099,800000099,800000099,800000099,800000099,800001099,899999999,899999999,89999,89999,89,89,8,0,1,12,21,22,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,87.0,1.73276,3.38997,0.367297,0.524425,0.00692978,204.815,,,0.171296,-0.0194116,3.09594,,,11.9664,416.761,3.21242,-8.67214,88.7661,0.162238,1,20.6133,11.971,281.173,460.803,1574.08,0.0,18.3313,533.35,0.0,68.639,66.3967,53.6694,89.6762,95.5401,76.3632,0.191658,0.24925,,851.053,138.072,290.822,20.6321,291.967,286.73,,3,140,,,,,,,,,,,,,,,,,,,,,,,,,,,99.87610000000001,0.32093400000000005,,87.19316666666667,0.0,446.15683333333334,91.02883333333332,851.053,533.35,,300.7206698727531,,58.989783224015476,51.018010546975184,0.0,254.03682233166631,192.12001100166702,293.2348333333333,152.922,202.206,243.95083333333335,13.0,13.0,wet,290.822
2021-03-05 10:30:00-08:00,2021-03-05 10:30:00,DATA,2021-03-05T100000_smart3-00269.ghg,64.4374,1,18000,18000,-0.103004,0,,166.715,0,,134.928,0.0,,-13.4511,0.0,,3.03808,0.0,,,,,,,,,,,,,,1.94827e-11,4.3122e-13,,,17.3862,416.676,420.554,-0.1,0,384.817,9.22246,9.3083,-0.1,0,,,,,9,,,,,9,289.45,288.141,99959.2,1.20436,1010.43,0.0239659,0.196868,0.0069344,922.117,1699.18,0.00575773,54.2685,777.059,278.953,-1.28071,1.23508,-0.115574,1.78297,-5.61791e-14,1.12058e-15,1.78297,4.53457,42.531,136.039,-3.71657,,0.292447,0.792623,-13.0809,-0.280752,1.23558,-0.468447,0,48.0096,-7.28565,16.4802,41.0379,62.5854,87.7769,131.506,-0.101827,1.01156,171.563,1.01674,117.142,1.07184,-21.443,1.07184,2.63761,1.07184,,,,,800000099,800000099,800000099,800000099,800000099,800001199,899999999,899999999,89999,89999,89,89,10,7,0,25,33,26,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,87.0,0.54109,0.8817,0.162456,0.582347,0.0126818,186.241,,,0.14098,-0.021443,2.63761,,,11.97,416.674,9.22254,5.72889,89.1484,0.168746,1,17.2167,11.9606,292.721,436.526,1384.35,0.0,56.9681,456.011,0.0,79.0035,70.6087,70.8221,42.9973,69.6315,27.687,0.177683,0.245892,,721.539,121.723,288.081,17.9761,286.477,286.433,,3,127,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9592,0.922117,,46.771933333333344,0.0,409.2390666666667,107.5960666666667,721.539,456.011,,296.63280244909646,,62.43040103019294,81.78927654008012,0.0,226.18224523470903,183.05682143195764,274.3110666666667,134.928,166.715,242.5240666666667,10.5,10.5,wet,288.081
2021-03-05 12:00:00-08:00,2021-03-05 12:00:00,DATA,2021-03-05T113000_smart3-00269.ghg,64.4999,1,18000,18000,-0.202849,0,,200.74,0,,199.614,0.0,,-12.362,0.0,,4.50381,0.0,,,,,,,,,,,,,,-1.9038e-10,-4.30694e-12,,,17.2145,415.885,419.836,0.0,0,389.441,9.4085,9.49787,0.0,0,,,,,9,,,,,9,291.936,290.271,99893.0,1.19465,1010.58,0.024159,0.291847,0.00701772,940.096,1946.72,0.00587429,48.2912,1006.63,279.232,-3.37049,1.53842,-0.215037,3.71122,4.692e-15,-1.10593e-14,3.71122,7.17176,25.2611,155.466,-3.32172,,0.412065,1.03601,-30.3781,-0.120893,1.00564,-0.403511,0,48.699,-7.39025,16.7168,41.6271,63.484,89.0372,133.394,-0.20047,1.01187,207.191,1.02403,172.288,1.09032,-22.1002,1.09032,3.88726,1.09032,,,,,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,9,5,0,12,19,7,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,87.0,0.902875,0.857898,0.311238,0.552019,0.00925495,300.949,,,0.171616,-0.0221002,3.88726,,,11.97,415.886,9.40858,6.00291,89.1346,0.155243,1,19.96,11.9604,302.7,457.872,1586.25,0.0,50.6401,546.208,0.0,79.0035,70.6087,70.8221,75.5964,100.818,55.901,0.181458,0.245758,,830.305,128.925,290.359,20.4924,290.142,286.437,,3,218,,,,,,,,,,,,,,,,,,,,,,,,,,,99.893,0.940096,,77.43846666666667,0.0,468.7695333333333,68.41553333333331,830.305,546.208,,300.21592700962293,,59.2995935567523,43.91564979356026,0.0,235.04397638423328,233.72555694910002,269.1555333333333,199.614,200.74,268.0295333333333,12.0,12.0,wet,290.359
2021-03-12 09:30:00-08:00,2021-03-12 09:30:00,DATA,2021-03-12T090000_smart3-00269.ghg,71.3957,1,18000,18000,-0.0961233,0,,97.7593,0,,128.884,0.0,,-8.32779,0.0,,2.88793,0.0,,,,,,,,,,,,,,7.1583e-11,1.30961e-12,,,17.7554,417.97,421.191,0.0,0,324.833,7.64675,7.70567,0.0,0,,,,,9,,,,,9,284.932,283.072,99975.0,1.22686,1009.46,0.0235405,0.187138,0.00585349,764.688,1217.94,0.00477113,62.7856,453.248,276.279,-2.23171,1.41099,-0.183594,2.64672,7.97198e-14,4.03163e-15,2.64672,5.87379,33.4397,147.697,-3.97761,,0.279909,0.959515,-19.5548,-0.187805,0.758504,-0.282005,0,45.7502,-6.94278,15.7046,39.1066,59.6401,83.646,125.317,-0.0950823,1.01095,102.948,1.0194,114.776,1.07911,-13.4242,1.07911,2.57181,1.07911,,,,,800000099,800000099,800000099,800000099,800000099,800001099,899999999,899999999,89999,89999,89,89,13,3,0,19,29,18,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,87.0,0.909508,0.841639,0.167885,0.308304,0.00626854,292.404,,,0.0831249,-0.0134242,2.57181,,,11.9618,417.971,7.64679,3.04755,89.1557,0.177367,1,12.4267,11.9581,279.618,388.757,1188.96,0.0,64.6709,397.299,0.0,66.228,58.4186,66.8903,25.4848,59.0439,7.45423,0.215225,0.243,,615.952,109.513,283.138,12.6749,281.764,284.45,,3,190,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,99.975,0.764688,,30.660976666666667,0.0,366.6380233333333,139.99472333333333,615.952,397.299,,288.07852935268653,,62.59368451855724,58.46834876834529,0.0,158.14399329011857,208.49403004321474,237.75402333333332,128.884,97.7593,268.8787233333333,9.5,9.5,wet,283.138
2021-03-12 11:00:00-08:00,2021-03-12 11:00:00,DATA,2021-03-12T103000_smart3-00269.ghg,71.4582,1,18000,18000,-0.332925,1,,200.188,0,,235.419,0.0,,-17.2879,0.0,,5.28583,0.0,,,,,,,,,,,,,,6.27965e-11,1.17296e-12,,,17.5284,415.764,419.018,0.0,0,327.409,7.76595,7.82674,0.0,0,,,,,9,,,,,9,286.786,285.203,99967.7,1.21755,1009.57,0.0237194,0.342522,0.00589991,776.553,1403.19,0.00484573,55.3419,626.639,276.497,-2.0006,1.17001,-0.103258,2.31991,1.3901e-13,3.58255e-15,2.31991,8.04129,29.5295,149.68,-2.55105,,0.522914,2.67949,-62.261,-0.0589856,0.85035,-0.311448,0,65.8421,-9.99179,22.6015,56.2808,85.8318,120.38,180.352,-0.329316,1.01096,209.631,1.01822,209.339,1.07607,-27.4101,1.07607,4.70026,1.07607,,,,,800000099,800000099,800000099,800000099,800000099,800001099,899999999,899999999,89999,89999,89,89,6,1,3,18,26,24,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,87.0,1.82171,3.30146,0.235809,0.638665,0.0133678,487.636,,,0.170542,-0.0274101,4.70026,,,11.923,415.764,7.76621,3.25487,89.1314,0.161918,1,15.46,11.9522,296.648,414.503,1577.97,0.0,58.0664,570.461,0.0,66.228,58.4186,66.8903,62.0953,100.962,46.4853,0.219633,0.2459,,821.601,133.286,285.096,15.1154,284.922,284.45,,3,241,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9677,0.776553,,69.84753333333333,0.0,500.6134666666667,65.00646666666671,821.601,570.461,,292.76074043749355,,47.06766993223718,74.53602280271949,100.0,230.06243853993774,270.5510281267289,265.1944666666667,235.419,200.188,300.4254666666667,11.0,11.0,wet,285.096
2021-03-12 12:30:00-08:00,2021-03-12 12:30:00,DATA,2021-03-12T120000_smart3-00269.ghg,71.5207,1,18000,18000,-0.102227,1,,108.483,0,,84.618,1.0,,-9.13469,0.0,,1.89878,1.0,,,,,,,,,,,,,,2.30133e-10,5.20986e-12,,,17.4432,413.046,416.945,0.0,0,394.886,9.35073,9.43899,0.0,0,,,,,9,,,,,9,287.679,284.576,99915.8,1.21886,1010.43,0.0236796,0.123041,0.00711584,934.536,1346.25,0.00583809,69.418,411.709,279.146,-0.145691,-2.71981,0.214719,2.73216,-6.47692e-14,1.31933e-14,2.73216,8.1266,280.85,266.934,4.5075,,0.289604,3.91591,-19.5148,-0.18819,1.28204,-0.304155,0,44.8095,-6.80002,15.3817,38.3025,58.4137,81.9261,122.74,-0.101117,1.01098,111.065,1.01973,72.5774,1.07994,-14.1843,1.07994,1.62859,1.07994,,,,,800000099,800000099,800000099,800000099,800000099,800001099,899999999,899999999,89999,89999,89,89,1,2,5,6,13,9,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,87.0,2.20457,5.43795,0.189297,0.328801,0.00622228,1036.2,,,0.0901812,-0.0141843,1.62859,,,11.947,413.045,9.35028,5.88641,89.1649,0.159728,1,15.42,11.95,329.293,392.753,672.29,0.0,69.0779,266.71,0.1,63.8912,55.7637,61.4623,71.6356,75.0961,57.7326,0.226233,0.242642,,393.688,63.519,284.934,13.1321,287.657,284.65,,3,138,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9158,0.9345359999999999,,68.15476666666666,0.0,198.55523333333332,5.45423333333332,393.688,266.71,,288.6873365281301,,42.620672188092875,56.62450594089777,101.0,111.54715603596046,87.00807729737286,113.93723333333332,84.618,108.483,90.07223333333332,12.5,12.5,wet,284.934
2021-03-17 13:30:00-07:00,2021-03-17 12:30:00,DATA,2021-03-17T120000_smart3-00269.ghg,76.5207,1,18000,18000,-0.103502,0,,127.943,0,,136.592,0.0,,-13.4435,0.0,,3.06776,0.0,,,,,,,,,,,,,,-1.63196e-11,-2.85638e-13,,,17.707,421.231,424.359,0.1,0,309.923,7.37273,7.42749,0.1,0,,,,,9,,,,,9,287.245,285.499,99779.1,1.21417,1009.36,0.0237889,0.198791,0.00558481,735.842,1430.8,0.00459968,51.4287,694.96,275.737,1.90638,-0.536176,0.100555,1.9829,8.14578e-14,-9.21644e-16,1.9829,6.48566,199.201,344.291,2.90678,,0.291968,1.9845,-16.9334,-0.21688,0.936677,-0.357564,0,45.9636,-6.97515,15.7778,39.289,59.9182,84.0361,125.901,-0.102354,1.01123,133.37,1.0172,121.627,1.07328,-19.7627,1.07328,2.73165,1.07328,,,,,800000099,800000099,800000099,800000099,800000099,800001199,899999999,899999999,89999,89999,89,89,0,1,3,25,44,36,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,87.0,1.39809,2.39036,0.180549,0.341937,0.012925,261.063,,,0.108826,-0.0197627,2.73165,,,11.98,421.235,7.37226,2.50586,89.1071,0.164767,1,16.38,11.952,314.115,415.81,1193.41,0.0,53.9304,446.939,0.1,66.0418,58.2133,61.6989,68.7039,75.7915,70.325,0.206517,0.249233,,656.887,108.253,285.527,15.1702,289.902,285.523,,3,159,,131.5,76.0,11.989,15.173666666666666,0.09913333333333334,14.818999999999999,21.88266666666667,14.819666666666668,0.009633333333333332,21.774,0.43806666666666666,0.052000000000000005,14.455333333333334,18.398000000000003,14.453333333333335,0.009766666666666667,18.331333333333337,0.4252333333333333,0.05416666666666667,14.287666666666667,18.317,14.288333333333332,0.013833333333333333,18.476333333333333,0.6352666666666666,99.7791,0.735842,292.6772222222222,71.6068,0.0,375.3322,110.79719999999999,656.887,446.939,292.95973763651057,292.9471388929798,71.24132602741477,71.12056955257276,76.50560329769635,0.0,181.53033687262555,193.80186312737447,238.74020000000002,136.592,127.943,247.38920000000002,13.5,12.5,wet,285.527
2021-03-17 15:00:00-07:00,2021-03-17 14:00:00,DATA,2021-03-17T133000_smart3-00269.ghg,76.5832,1,18000,18000,-0.111691,0,,173.016,0,,196.85,0.0,,-16.4037,0.0,,4.42531,0.0,,,,,,,,,,,,,,2.74345e-11,5.13175e-13,,,17.4454,416.771,420.046,0.1,0,326.324,7.79589,7.85715,0.1,0,,,,,9,,,,,9,287.863,286.492,99702.3,1.20884,1009.61,0.02389,0.28676,0.00588036,777.477,1526.91,0.00486447,50.9184,749.431,276.514,2.19643,-1.69616,0.11289,2.77741,-6.26957e-15,1.57259e-15,2.77741,7.00234,218.567,322.323,2.32948,,0.303966,1.68927,-14.1234,-0.260029,0.878927,-0.466379,0,49.6377,-7.53271,17.039,42.4296,64.7078,90.7536,135.965,-0.110476,1.01099,180.542,1.01991,174.133,1.08039,-24.8806,1.08039,3.91462,1.08039,,,,,800000099,800000099,800000099,800000099,800000099,800001199,899999999,899999999,89999,89999,89,89,0,0,1,5,13,20,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,87.0,1.30914,1.90794,0.161466,0.564964,0.0157874,410.618,,,0.147929,-0.0248806,3.91462,,,12.01,416.771,7.79608,3.27604,89.099,0.170996,1,16.6,11.965,307.099,431.094,1600.83,0.0,53.4199,569.843,0.0,65.8925,58.3166,61.279,92.32,112.727,95.9319,0.212333,0.248,,837.15,143.312,286.431,16.7881,292.205,285.924,,3,250,,221.5,76.0,11.989,16.527,0.1612,17.466,28.795333333333335,17.473666666666666,0.022333333333333334,28.610666666666667,0.8222,0.08626666666666667,17.03666666666667,23.71066666666667,17.041999999999998,0.023399999999999997,23.509999999999998,0.7700666666666667,0.08603333333333334,16.358333333333334,22.836333333333336,16.35533333333333,0.018933333333333337,22.796333333333333,0.7971,99.70230000000001,0.777477,298.1223333333333,100.3263,0.0,469.51669999999996,99.6507,837.15,569.843,298.5004779139255,295.6632675710216,85.2107259931732,65.17997115536504,53.15237661787541,0.0,219.63062667885123,249.8860733211487,272.66669999999993,196.85,173.016,296.50069999999994,15.0,14.0,wet,286.431
2021-03-18 09:30:00-07:00,2021-03-18 08:30:00,DATA,2021-03-18T080000_smart3-00269.ghg,77.3541,1,18000,18000,-0.0533226,0,,65.6322,0,,69.412,0.0,,-7.86947,0.0,,1.55567,0.0,,,,,,,,,,,,,,-1.47363e-10,-3.45721e-12,,,17.6034,415.305,419.392,-0.1,0,412.983,9.74325,9.83911,-0.1,0,,,,,9,,,,,9,285.866,283.306,99837.8,1.22319,1010.63,0.0235924,0.100808,0.00744196,973.005,1237.16,0.00608406,78.6481,264.158,279.731,-0.390354,1.62521,-0.0672904,1.67279,-3.71198e-14,-8.37131e-15,1.67279,5.60881,73.7707,103.506,-2.30543,,0.20879,1.00066,-12.0809,-0.303993,0.945546,-0.254287,0,45.1844,-6.85691,15.5104,38.623,58.9025,82.6116,123.767,-0.0527,1.01181,68.403,1.01654,60.9465,1.07114,-11.0299,1.07114,1.36594,1.07114,,,,,800000099,800000099,800000099,800000099,800000099,800000199,899999999,899999999,89999,89999,89,89,11,2,2,14,17,14,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,87.0,0.645393,1.25956,0.0963618,0.374893,0.0149795,111.939,,,0.0553338,-0.0110299,1.36594,,,11.9759,415.301,9.74317,6.51009,88.6931,0.196497,1,11.1767,11.9663,309.655,381.939,709.78,0.0,80.6927,215.478,0.0,72.9555,68.0593,68.6784,-5.37582,4.43212,-6.35017,0.197317,0.25,,358.874,71.1113,283.462,11.504,284.766,286.85,,3,100,,1331.5,77.0,11.985000000000001,8.92,0.018799999999999997,9.617666666666667,10.745333333333333,9.609666666666667,0.006466666666666667,10.736333333333333,0.1304,0.01863333333333333,9.607333333333335,10.762,9.596,0.008033333333333333,10.712666666666667,0.1806333333333333,0.015433333333333332,9.787666666666667,10.725,9.773333333333333,0.009233333333333335,10.712333333333333,0.1396666666666667,99.8378,0.973005,283.87044444444444,-2.43129,0.0,217.90929,82.86509,358.874,215.478,284.0324126224622,286.7033036345926,10.748788095705471,61.078742913662595,86.03488834134366,0.0,105.90507480615975,112.00421519384024,148.49728999999996,69.412,65.6322,152.27709,9.5,8.5,wet,283.462
2021-03-18 11:00:00-07:00,2021-03-18 10:00:00,DATA,2021-03-18T093000_smart3-00269.ghg,77.4166,1,18000,18000,-0.0463482,1,,198.309,0,,171.129,0.0,,-16.1501,0.0,,3.85294,0.0,,,,,,,,,,,,,,-2.12879e-10,-4.92815e-12,,,17.3947,417.049,421.114,0.0,0,402.687,9.65468,9.7488,0.0,0,,,,,9,,,,,9,288.471,288.071,99894.0,1.20367,1010.67,0.0239756,0.249671,0.00725642,964.703,1691.51,0.00602856,57.0322,726.804,279.607,0.425379,0.82736,-0.0251245,0.930647,7.11581e-14,-1.22382e-14,0.930647,3.66306,117.397,62.7905,-1.54699,,0.196228,0.962008,-3.32078,-1.10591,1.15883,-0.830734,1,6.27932,3.0,5.0,8.0,13.0,21.0,48.0,-0.0456061,1.01627,204.562,1.01726,149.014,1.0694,-25.8093,1.0694,3.35502,1.0694,,,,,800000099,800000099,800000099,800000099,800000099,800011099,899999999,899999999,89999,89999,89,89,2,0,4,28,28,18,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,87.0,1.42148,0.401044,0.101493,0.895525,0.019438,446.649,,,0.168154,-0.0258093,3.35502,,,11.99,417.049,9.65461,6.37223,88.9602,0.174178,1,17.2433,11.9597,327.982,431.156,1512.08,0.0,61.9127,530.061,0.0,72.9555,68.0593,68.6784,46.6574,73.5318,27.21,0.200967,0.250808,,766.839,133.603,287.424,18.8015,286.917,286.65,,3,211,,1421.5,77.0,11.987,15.263666666666667,0.09583333333333334,14.011666666666667,20.816666666666666,13.991000000000001,0.01846666666666667,20.692,0.46043333333333336,0.08513333333333332,14.229333333333333,20.833333333333332,14.207333333333334,0.018266666666666667,20.695333333333334,0.46013333333333334,0.05873333333333333,15.299333333333333,19.668333333333333,15.269333333333332,0.0223,19.483999999999998,0.4003,99.894,0.964703,293.44044444444444,49.13306666666667,0.0,480.9279333333334,111.48993333333337,766.839,530.061,293.6957536591595,295.6213957192027,38.48529738586104,50.30159492670183,117.2363051361403,100.0,258.15519121314003,222.7727421201934,309.7989333333334,171.129,198.309,282.6189333333334,11.0,10.0,wet,287.424
